"","ISO","year","meanHumid","meanHumid2","medHumid","medHumid2","meanPET","medPET","cubM_precip"
"1","AFG","1901",0.316400926899384,0.316400926899384,0.10936815566736,0.10936815566736,129.754048495864,120.118103027344,4742079442.66431
"2","AFG","1910",0.448261062058256,0.448261062058256,0.067521259767795,0.067521259767795,127.686060055469,118.16735458374,4838264665.2382
"3","AFG","1920",0.507979972238827,0.507979972238827,0.143273936063549,0.143273936063549,124.157000881309,116.23021697998,5408237035.46349
"4","AFG","1930",0.481639211447695,0.481639211447695,0.124231321484727,0.124231321484727,124.036642395891,114.390678405762,5698403427.9515
"5","AFG","1940",0.446653439517375,0.446653439517375,0.15150697510327,0.15150697510327,128.163659158163,118.902988433838,5582793294.27842
"6","AFG","1950",0.431229302870248,0.431229302870248,0.0754116651045379,0.0754116651045379,123.883125120774,114.606708526611,4642584587.75633
"7","AFG","1960",0.483860192826445,0.483860192826445,0.144931312433148,0.144931312433148,126.908546454894,113.936225891113,6425995880.52246
"8","AFG","1970",0.296948027287274,0.296948027287274,0.0400186583425314,0.0400186583425314,131.185175405194,122.674976348877,3848655010.87937
"9","AFG","1980",0.567798629640454,0.567798629640454,0.101805617413162,0.101805617413162,129.942247751479,121.876159667969,6672613814.36882
"10","AFG","1985",0.333770796426568,0.333770796426568,0.0319228638024979,0.0319228638024979,128.563632806142,121.078853607178,3466655315.1869
"11","AFG","1990",0.583818108298058,0.583818108298058,0.0826046143586748,0.0826046143586748,131.16800362089,121.643253326416,6528740109.8007
"12","AFG","1995",0.411775265707288,0.411775265707288,0.12976010083574,0.12976010083574,127.759383304045,116.802146911621,5281551820.34316
"13","AFG","2000",0.347365839303021,0.347365839303021,0.0628338773145241,0.0628338773145241,130.744747227679,125.559047698975,3749148980.76374
"14","AFG","2005",0.465283255846173,0.465283255846173,0.0868539190183793,0.0868539190183793,129.905431505603,123.006366729736,5804305560.23927
"15","AGO","1901",0.604219683145686,0.604219683145686,0.366148176727377,0.366148176727377,130.18530894684,127.71752166748,33490267561.4065
"16","AGO","1910",0.652482157321678,0.652482157321678,0.35403530188099,0.35403530188099,129.910925745505,127.343349456787,35730139193.8489
"17","AGO","1920",0.623584188576169,0.623584188576169,0.366360098848924,0.366360098848924,130.12150610879,127.65633392334,34442117934.9537
"18","AGO","1930",0.503879271673204,0.503879271673204,0.202083607890942,0.202083607890942,130.192224266164,127.289310455322,27716419213.4593
"19","AGO","1940",0.56427525007829,0.56427525007829,0.403216464318212,0.403216464318212,131.303259395103,128.69367980957,31907964442.4042
"20","AGO","1950",0.722720960546255,0.722720960546255,0.405309325547589,0.405309325547589,130.313558816359,126.74133682251,39984632394.3182
"21","AGO","1960",0.743960446170517,0.743960446170517,0.387582638812577,0.387582638812577,129.988388325821,125.013442993164,40303362417.5625
"22","AGO","1970",0.592710729208469,0.592710729208469,0.273208626472447,0.273208626472447,131.487664436358,129.43904876709,32900995906.1601
"23","AGO","1980",0.529577383260336,0.529577383260336,0.278005878136186,0.278005878136186,131.872241018,128.842475891113,29887222880.5515
"24","AGO","1985",0.576207908955856,0.576207908955856,0.344268482092816,0.344268482092816,131.44051125859,128.861907958984,32217873556.8772
"25","AGO","1990",0.606508090076156,0.606508090076156,0.406904789668942,0.406904789668942,130.27507758783,128.015548706055,33728775964.3774
"26","AGO","1995",0.523244384993631,0.523244384993631,0.282329892111888,0.282329892111888,133.836630081929,130.61695098877,29848563666.2878
"27","AGO","2000",0.659196002386443,0.659196002386443,0.410236652307379,0.410236652307379,130.711750898295,128.329635620117,36329318386.6192
"28","AGO","2005",0.613974696100242,0.613974696100242,0.413791284807148,0.413791284807148,133.051177364758,130.95198059082,34578785355.6769
"29","AIA","1901",1.06031277239304,1.06031277239304,1.11068054118159,1.11068054118159,146.044732411702,153.719581604004,148321318.0033
"30","AIA","1910",0.901144740706284,0.901144740706284,0.84554135363351,0.84554135363351,144.420479456584,151.798965454102,125571384.598862
"31","AIA","1920",0.811693710758045,0.811693710758045,0.82471504924558,0.82471504924558,145.018142700195,152.777160644531,112441390.332918
"32","AIA","1930",0.861354244289582,0.861354244289582,0.847018148006053,0.847018148006053,145.411518096924,153.278984069824,118320690.638524
"33","AIA","1940",0.928892758998421,0.928892758998421,0.968845294177556,0.968845294177556,146.306008021037,153.907707214355,131767750.719775
"34","AIA","1950",0.980942370921823,0.980942370921823,1.07227367212734,1.07227367212734,144.555234273275,153.37580871582,137320498.301361
"35","AIA","1960",1.04074771530734,1.04074771530734,0.901478720473408,0.901478720473408,147.839221318563,155.498687744141,146365519.511191
"36","AIA","1970",0.864863510524162,0.864863510524162,0.96871564370001,0.96871564370001,148.096567789714,155.75390625,126067393.333672
"37","AIA","1980",0.743116163482029,0.743116163482029,0.742599100396484,0.742599100396484,146.377378463745,153.461044311523,104784346.981739
"38","AIA","1985",0.740366845767383,0.740366845767383,0.556670781547106,0.556670781547106,146.953737258911,155.517333984375,103968904.592776
"39","AIA","1990",0.865605775455036,0.865605775455036,0.765647608792043,0.765647608792043,148.691170374552,157.148361206055,123031013.293419
"40","AIA","1995",0.78504007557583,0.78504007557583,0.782123740032383,0.782123740032383,148.45173517863,156.154403686523,109595457.076621
"41","AIA","2000",0.646804263673713,0.646804263673713,0.614016681426413,0.614016681426413,148.701517105103,156.771759033203,90813137.5270533
"42","AIA","2005",1.1960084971482,1.1960084971482,1.06447529415326,1.06447529415326,146.222169240316,149.855545043945,169856649.620983
"43","ALA","1901",31.0486872282804,31.0486872282804,0.841727959639191,0.841727959639191,53.6499199581643,39.0977611541748,56867618.9282803
"44","ALA","1910",19.9559508699422,19.9559508699422,0.852500013176074,0.852500013176074,53.0154142164522,40.1384840011597,72829870.1369213
"45","ALA","1920",9.55457279056541,9.55457279056541,0.838456114494134,0.838456114494134,52.090730815712,39.7474613189697,55286932.918608
"46","ALA","1930",8.36286987368881,8.36286987368881,1.19473282296789,1.19473282296789,51.7563273302383,36.9811887741089,75659857.230273
"47","ALA","1940",12.7118040920753,12.7118040920753,1.59437041094668,1.59437041094668,48.8350366594063,31.3073883056641,60525667.4923939
"48","ALA","1950",22.2921368811951,22.2921368811951,1.31861511183581,1.31861511183581,50.2484058754312,35.9344358444214,72964624.8213214
"49","ALA","1960",30.3506759141175,30.3506759141175,1.53541842075825,1.53541842075825,50.1185188914339,37.5763444900513,101509394.223079
"50","ALA","1970",19.5412107366211,19.5412107366211,1.41816580819932,1.41816580819932,49.877923881842,36.1173706054688,59131673.0224676
"51","ALA","1980",29.5165652111312,29.5165652111312,1.00549456628937,1.00549456628937,52.5776292222242,38.541127204895,78378828.4242536
"52","ALA","1985",39.8696491744346,39.8696491744346,1.23713932814309,1.23713932814309,47.8270823930701,34.0498857498169,69559611.7615353
"53","ALA","1990",14.4527551191189,14.4527551191189,1.57453705371473,1.57453705371473,53.3950138870213,39.191987991333,86646875.2434172
"54","ALA","1995",16.5040356701681,16.5040356701681,1.03430623653436,1.03430623653436,52.7180304336879,39.0562896728516,62326267.6527798
"55","ALA","2000",16.3888126007346,16.3888126007346,1.09315130611924,1.09315130611924,48.2200112640858,39.4711885452271,80089563.7496314
"56","ALA","2005",17.6857882190632,17.6857882190632,0.938448460003853,0.938448460003853,53.678671900183,40.7614603042603,73318433.6190542
"57","ALB","1901",2.44290246890381,2.44290246890381,1.35698605631688,1.35698605631688,97.7125036432629,81.9565010070801,1216553835.35387
"58","ALB","1910",1.67287768238983,1.67287768238983,0.920314098185425,0.920314098185425,97.9422970499311,81.7816467285156,848221282.868103
"59","ALB","1920",1.24591361957512,1.24591361957512,0.952230714275807,0.952230714275807,99.2398846603575,81.8868026733398,739583502.111026
"60","ALB","1930",1.75045029568106,1.75045029568106,0.973193481720349,0.973193481720349,99.3531132539113,82.133472442627,952834056.935059
"61","ALB","1940",2.45895614510944,2.45895614510944,1.55529760629111,1.55529760629111,96.0486800954455,81.7734909057617,1218004214.86454
"62","ALB","1950",2.43620675631044,2.43620675631044,0.926512530047829,0.926512530047829,103.299341837565,83.4570732116699,1030256270.3331
"63","ALB","1960",2.44795214618723,2.44795214618723,1.31791838005598,1.31791838005598,95.0506617795853,75.0937156677246,1114213740.87443
"64","ALB","1970",2.09438248919762,2.09438248919762,1.31406340037232,1.31406340037232,97.5279338586898,78.2911338806152,1039236706.99869
"65","ALB","1980",2.09573241972574,2.09573241972574,1.28020687072813,1.28020687072813,95.8003212440582,76.9527473449707,1034288684.03246
"66","ALB","1985",2.1152964545385,2.1152964545385,0.509438649595425,0.509438649595425,104.489679643086,88.0098876953125,873778588.653091
"67","ALB","1990",1.57050363161406,1.57050363161406,0.502713450325496,0.502713450325496,106.462032471384,92.8823013305664,740179399.36911
"68","ALB","1995",2.00152314698409,2.00152314698409,1.00095954787744,1.00095954787744,97.963326107888,90.2657165527344,1012918508.21752
"69","ALB","2000",1.50894554146156,1.50894554146156,0.643352904391995,0.643352904391995,104.36424331438,84.1174163818359,809108144.045754
"70","ALB","2005",1.89464366170466,1.89464366170466,0.874685863725399,0.874685863725399,99.1062753654662,79.7718811035156,847625438.718685
"71","ARE","1901",0.0428009592560868,0.0428009592560868,0.0123686732763114,0.0123686732763114,190.810421953298,198.011924743652,191940858.869498
"72","ARE","1910",0.0360012401904228,0.0360012401904228,0.00809261328487973,0.00809261328487973,186.745650301076,192.077049255371,148588653.561402
"73","ARE","1920",0.0418098914550134,0.0418098914550134,0.0127609572926227,0.0127609572926227,189.566213627054,197.329772949219,181645297.662366
